[2022-07-25T16:04:33.429265+02:00] Ridwan\Belajar\PHP\MVC\HandlerTest.INFO: Belajar Pemrograman PHP Logging [] []
[2022-07-25T16:04:33.433134+02:00] Ridwan\Belajar\PHP\MVC\HandlerTest.INFO: Selamat Datang [] []
[2022-07-25T16:04:33.433517+02:00] Ridwan\Belajar\PHP\MVC\HandlerTest.INFO: Ini Informasi Aplikasi Logging [] []
[2022-07-25T16:21:08.970226+02:00] Ridwan\Belajar\PHP\MVC\LevelTest.DEBUG: This is debug [] []
[2022-07-25T16:21:08.978391+02:00] Ridwan\Belajar\PHP\MVC\LevelTest.INFO: This is info [] []
[2022-07-25T16:21:08.987623+02:00] Ridwan\Belajar\PHP\MVC\LevelTest.NOTICE: This is notice [] []
[2022-07-25T16:21:09.000477+02:00] Ridwan\Belajar\PHP\MVC\LevelTest.WARNING: This is warning [] []
[2022-07-25T16:21:09.002361+02:00] Ridwan\Belajar\PHP\MVC\LevelTest.ERROR: This is error [] []
[2022-07-25T16:21:09.018666+02:00] Ridwan\Belajar\PHP\MVC\LevelTest.CRITICAL: This is critical [] []
[2022-07-25T16:21:09.019816+02:00] Ridwan\Belajar\PHP\MVC\LevelTest.ALERT: This is alert [] []
[2022-07-25T16:21:09.023061+02:00] Ridwan\Belajar\PHP\MVC\LevelTest.EMERGENCY: This is emergency [] []
[2022-07-25T16:46:48.666907+02:00] Ridwan\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-0 [] {"hostname":"RIDWANSATRIA","memory_usage":"4 MB","git":[]}
[2022-07-25T16:46:48.842988+02:00] Ridwan\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-1 [] {"hostname":"RIDWANSATRIA","memory_usage":"4 MB","git":[]}
[2022-07-25T16:46:48.992142+02:00] Ridwan\Belajar\PHP\MVC\ResetTest.INFO: Perulangan ke-2 [] {"hostname":"RIDWANSATRIA","memory_usage":"4 MB","git":[]}
